Timestamp,Audio,Temperature(C),Humidity(%),Pressure(Pa),Oxygen(%),HeartRate(BPM)
2025-02-20 23:58:51,310,26.44,75.44,0.0,0.0,0.0
2025-02-20 23:58:52,297,26.42,75.44,0.0,0.0,0.0
2025-02-20 23:58:52,303,26.42,75.62,0.0,0.0,0.0
2025-02-20 23:58:52,285,26.42,75.65,0.0,0.0,0.0
2025-02-20 23:58:52,304,26.45,75.73,0.0,0.0,0.0
2025-02-20 23:58:52,294,26.43,75.8,0.0,0.0,0.0
2025-02-20 23:58:52,275,26.45,75.85,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.44,75.84,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.43,75.9,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.42,75.93,0.0,0.0,0.0
2025-02-20 23:58:52,275,26.43,75.95,0.0,0.0,0.0
2025-02-20 23:58:52,273,26.42,75.98,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.43,75.96,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.45,76.07,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.45,76.06,0.0,0.0,0.0
2025-02-20 23:58:52,274,26.45,76.17,0.0,0.0,0.0
2025-02-20 23:58:52,272,26.44,76.0,0.0,0.0,0.0
2025-02-20 23:58:52,275,26.45,76.09,0.0,0.0,0.0
2025-02-20 23:58:52,282,26.45,76.09,0.0,0.0,0.0
2025-02-20 23:58:52,280,26.45,76.12,0.0,0.0,0.0
2025-02-20 23:58:52,281,26.46,76.06,0.0,0.0,0.0
2025-02-20 23:58:52,292,26.43,76.1,0.0,0.0,0.0
2025-02-20 23:58:52,290,26.43,76.11,0.0,0.0,0.0
2025-02-20 23:58:52,294,26.43,76.09,0.0,0.0,0.0
2025-02-20 23:58:52,295,26.43,76.06,0.0,0.0,0.0
2025-02-20 23:58:52,304,26.45,76.09,0.0,0.0,0.0
2025-02-20 23:58:52,306,26.44,75.99,0.0,0.0,0.0
2025-02-20 23:58:52,307,26.42,75.94,0.0,0.0,0.0
2025-02-20 23:58:52,310,26.44,75.98,0.0,0.0,0.0
2025-02-20 23:58:52,297,26.43,75.95,0.0,0.0,0.0
2025-02-20 23:58:52,310,26.43,75.89,0.0,0.0,0.0
2025-02-20 23:58:53,319,26.41,75.86,0.0,0.0,0.0
2025-02-20 23:58:53,314,26.41,75.82,0.0,0.0,0.0
2025-02-20 23:58:53,312,26.42,75.77,0.0,0.0,0.0
2025-02-20 23:58:53,317,26.42,75.77,0.0,0.0,0.0
2025-02-20 23:58:53,322,26.42,75.79,0.0,0.0,0.0
2025-02-20 23:58:53,317,26.42,75.71,0.0,0.0,0.0
2025-02-20 23:58:53,321,26.41,75.63,0.0,0.0,0.0
2025-02-20 23:58:53,318,26.42,75.69,0.0,0.0,0.0
2025-02-20 23:58:53,329,26.42,75.7,0.0,0.0,0.0
2025-02-20 23:58:53,322,26.43,75.61,0.0,0.0,0.0
2025-02-20 23:58:53,327,26.41,75.47,0.0,0.0,0.0
2025-02-20 23:58:53,321,26.41,75.5,0.0,0.0,0.0
2025-02-20 23:58:53,327,26.41,75.41,0.0,0.0,0.0
2025-02-20 23:58:53,323,26.42,75.45,0.0,0.0,0.0
2025-02-20 23:58:53,320,26.43,75.39,0.0,0.0,0.0
2025-02-20 23:58:53,317,26.41,75.5,0.0,0.0,0.0
2025-02-20 23:58:53,317,26.42,75.45,0.0,0.0,0.0
2025-02-20 23:58:53,319,26.42,75.43,0.0,0.0,0.0
2025-02-20 23:58:53,320,26.4,75.31,0.0,0.0,0.0
2025-02-20 23:58:53,311,26.4,75.31,0.0,0.0,0.0
2025-02-20 23:58:54,311,26.38,75.24,0.0,0.0,0.0
2025-02-20 23:58:54,310,26.39,75.22,0.0,0.0,0.0
2025-02-20 23:58:54,305,26.41,75.19,0.0,0.0,0.0
2025-02-20 23:58:54,327,26.42,75.22,0.0,0.0,0.0
2025-02-20 23:58:54,345,26.41,75.31,0.0,0.0,0.0
2025-02-20 23:58:54,304,26.41,75.41,0.0,0.0,0.0
2025-02-20 23:58:54,294,26.42,75.44,0.0,0.0,0.0
2025-02-20 23:58:54,277,26.42,75.51,0.0,0.0,0.0
2025-02-20 23:58:54,304,26.41,75.64,0.0,0.0,0.0
2025-02-20 23:58:54,278,26.42,75.61,0.0,0.0,0.0
2025-02-20 23:58:54,272,26.39,75.75,0.0,0.0,0.0
2025-02-20 23:58:54,270,26.41,75.74,0.0,0.0,0.0
2025-02-20 23:58:54,263,26.41,75.85,0.0,0.0,0.0
2025-02-20 23:58:54,259,26.41,75.82,0.0,0.0,0.0
2025-02-20 23:58:54,250,26.41,75.85,0.0,0.0,0.0
2025-02-20 23:58:54,259,26.41,75.88,0.0,0.0,0.0
2025-02-20 23:58:54,257,26.39,75.93,0.0,0.0,0.0
2025-02-20 23:58:54,253,26.41,76.0,0.0,0.0,0.0
2025-02-20 23:58:54,256,26.42,75.93,0.0,0.0,0.0
2025-02-20 23:58:54,251,26.43,75.95,0.0,0.0,0.0
2025-02-20 23:58:54,251,26.41,76.0,0.0,0.0,0.0
2025-02-20 23:58:54,252,26.4,75.98,0.0,0.0,0.0
2025-02-20 23:58:54,252,26.42,76.07,0.0,0.0,0.0
2025-02-20 23:58:54,256,26.43,76.02,0.0,0.0,0.0
2025-02-20 23:58:55,253,26.43,76.02,0.0,0.0,0.0
2025-02-20 23:58:55,258,26.42,76.07,0.0,0.0,0.0
2025-02-20 23:58:55,256,26.42,75.99,0.0,0.0,0.0
2025-02-20 23:58:55,256,26.43,76.04,0.0,0.0,0.0
2025-02-20 23:58:55,262,26.41,76.03,0.0,0.0,0.0
2025-02-20 23:58:55,266,26.42,75.98,0.0,0.0,0.0
2025-02-20 23:58:55,261,26.4,75.98,0.0,0.0,0.0
2025-02-20 23:58:55,271,26.41,76.0,0.0,0.0,0.0
2025-02-20 23:58:55,270,26.41,76.03,0.0,0.0,0.0
2025-02-20 23:58:55,273,26.41,75.99,0.0,0.0,0.0
2025-02-20 23:58:55,275,26.4,75.93,0.0,0.0,0.0
2025-02-20 23:58:55,275,26.41,75.93,0.0,0.0,0.0
2025-02-20 23:58:55,284,26.42,75.84,0.0,0.0,0.0
2025-02-20 23:58:55,288,26.42,75.82,0.0,0.0,0.0
2025-02-20 23:58:55,278,26.41,75.79,0.0,0.0,0.0
2025-02-20 23:58:55,285,26.42,75.69,0.0,0.0,0.0
2025-02-20 23:58:55,289,26.4,75.66,0.0,0.0,0.0
2025-02-20 23:58:55,289,26.39,75.59,0.0,0.0,0.0
2025-02-20 23:58:55,290,26.4,75.61,0.0,0.0,0.0
2025-02-20 23:58:55,285,26.39,75.64,0.0,0.0,0.0
2025-02-20 23:58:55,291,26.4,75.5,0.0,0.0,0.0
2025-02-20 23:58:55,292,26.4,75.5,0.0,0.0,0.0
2025-02-20 23:58:55,298,26.39,75.47,0.0,0.0,0.0
2025-02-20 23:58:55,293,26.41,75.42,0.0,0.0,0.0
2025-02-20 23:58:55,288,26.41,75.41,0.0,0.0,0.0
2025-02-20 23:58:55,284,26.4,75.39,0.0,0.0,0.0
2025-02-20 23:58:56,285,26.37,75.31,0.0,0.0,0.0
2025-02-20 23:58:56,291,26.39,75.35,0.0,0.0,0.0
2025-02-20 23:58:56,293,26.38,75.3,0.0,0.0,0.0
2025-02-20 23:58:56,291,26.38,75.26,0.0,0.0,0.0
2025-02-20 23:58:56,292,26.38,75.26,0.0,0.0,0.0
2025-02-20 23:58:56,290,26.39,75.2,0.0,0.0,0.0
2025-02-20 23:58:56,287,26.39,75.19,0.0,0.0,0.0
2025-02-20 23:58:56,287,26.39,75.13,0.0,0.0,0.0
2025-02-20 23:58:56,286,26.38,75.09,0.0,0.0,0.0
2025-02-20 23:58:56,283,26.38,75.06,0.0,0.0,0.0
2025-02-20 23:58:56,300,26.36,75.02,0.0,0.0,0.0
2025-02-20 23:58:56,293,26.36,75.02,0.0,0.0,0.0
2025-02-20 23:58:56,292,26.38,74.98,0.0,0.0,0.0
2025-02-20 23:58:56,288,26.36,75.03,0.0,0.0,0.0
2025-02-20 23:58:56,292,26.37,74.95,0.0,0.0,0.0
2025-02-20 23:58:56,290,26.37,74.93,0.0,0.0,0.0
2025-02-20 23:58:56,288,26.37,74.87,0.0,0.0,0.0
2025-02-20 23:58:56,283,26.36,74.85,0.0,0.0,0.0
2025-02-20 23:58:56,288,26.37,74.77,0.0,0.0,0.0
2025-02-20 23:58:56,291,26.36,74.82,0.0,0.0,0.0
2025-02-20 23:58:57,285,26.34,74.81,0.0,0.0,0.0
2025-02-20 23:58:57,287,26.35,74.76,0.0,0.0,0.0
2025-02-20 23:58:57,283,26.36,74.72,0.0,0.0,0.0
2025-02-20 23:58:57,275,26.37,74.71,0.0,0.0,0.0
2025-02-20 23:58:57,274,26.36,74.76,0.0,0.0,0.0
2025-02-20 23:58:57,282,26.36,74.67,0.0,0.0,0.0
2025-02-20 23:58:57,278,26.36,74.69,0.0,0.0,0.0
2025-02-20 23:58:57,282,26.36,74.7,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.36,74.63,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.35,74.63,0.0,0.0,0.0
2025-02-20 23:58:57,279,26.33,74.55,0.0,0.0,0.0
2025-02-20 23:58:57,269,26.33,74.6,0.0,0.0,0.0
2025-02-20 23:58:57,275,26.35,74.54,0.0,0.0,0.0
2025-02-20 23:58:57,274,26.36,74.51,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.35,74.54,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.34,74.39,0.0,0.0,0.0
2025-02-20 23:58:57,278,26.35,74.4,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.35,74.34,0.0,0.0,0.0
2025-02-20 23:58:57,271,26.35,74.37,0.0,0.0,0.0
2025-02-20 23:58:57,275,26.36,74.29,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.33,74.29,0.0,0.0,0.0
2025-02-20 23:58:57,261,26.35,74.23,0.0,0.0,0.0
2025-02-20 23:58:57,267,26.35,74.29,0.0,0.0,0.0
2025-02-20 23:58:57,266,26.33,74.22,0.0,0.0,0.0
2025-02-20 23:58:57,270,26.35,74.23,0.0,0.0,0.0
2025-02-20 23:58:57,269,26.33,74.3,0.0,0.0,0.0
2025-02-20 23:58:57,265,26.34,74.28,0.0,0.0,0.0
2025-02-20 23:58:57,272,26.34,74.23,0.0,0.0,0.0
2025-02-20 23:58:57,263,26.33,74.18,0.0,0.0,0.0
2025-02-20 23:58:57,267,26.33,74.17,0.0,0.0,0.0
2025-02-20 23:58:58,259,26.32,74.21,0.0,0.0,0.0
2025-02-20 23:58:58,263,26.31,74.23,0.0,0.0,0.0
2025-02-20 23:58:58,269,26.31,74.16,0.0,0.0,0.0
2025-02-20 23:58:58,259,26.31,74.14,0.0,0.0,0.0
